user_id,session_id,login,logout,view_product,add_product,order_product,confirm_order,pay_order
10407125,f5b275d56045df9b19bc941da4274b23,1,1,3,0,0,0,0
10315215,2b8d8e946037551f7887b5ed48443bb1,1,1,2,0,0,0,0
10653049,4e76f95a23c2a310f93fa04b31a75366,1,1,2,2,0,0,0
10725055,da7d85387006da41577319cb9d672fdf,1,1,3,0,0,0,0
10711104,e4df0a18985fae7a3f5d3462706a21ae,1,1,3,0,0,0,0
10509058,d222c5968ac85ce8b45b13764f37801d,1,1,3,0,0,0,0
10005035,a2ade4ea265b0a38e26a5cc242868e2d,1,1,2,0,0,0,0
10430079,91bffaacdcf3c7495810f3f7078cd409,1,1,5,4,1,0,0
10154036,37bac88f47dfb891b796245e42dce2ee,1,1,3,0,0,0,0
10265021,5bb6b7dde47a457743752fc2ed72002b,1,1,2,0,0,0,0
10676119,b70fec9b61b413f9a13453dfba4ce63b,1,1,2,0,0,0,0
10566173,7bceb5c1c392a370ec20e4525211d0bc,1,1,3,1,0,0,0
10910080,6d9160c57072060ae433c11efc32c3af,1,1,1,0,0,0,0
10488078,7973e31ddbd08e4ffeb268651fc1a60c,1,1,2,2,0,0,0
10551298,e4116c919744fa1a1ec1373c7b137bf5,1,1,1,0,0,0,0
10910080,dd4c285fd3de7e79ebe9ea822e33166d,1,1,1,0,0,0,0
10546011,7bc7a50454060b31743067ddd5bfbf9d,1,1,1,0,0,0,0
10518065,ac6cb1db06ed2542b9f24b4e2fd67a1a,1,1,2,0,0,0,0
10570139,7eb1ed273dbdc73449a360f8c0019502,1,1,3,0,0,0,0
10430079,07c3b81f73da2905a3e2f8cc3ee30494,1,1,4,0,0,0,0
10175116,59333b7ad9ac37c570732886739ea869,1,1,2,0,0,0,0
10048170,5f713ea13415e39979e226840917cfb3,1,1,3,1,0,0,0
10606030,3bea0595000ff99e4b094b5269caebbb,1,1,3,0,0,0,0
10619162,7128c2b3fb2e0cca03cb484706d19d2a,1,1,1,0,0,0,0
10379061,37a9e982ec0c16e3e6da0a98448587f0,1,1,2,0,0,0,0
10671138,2c2f687158306509ca769afceb66ba34,1,1,1,0,0,0,0
10257169,d49883d4cd2ba12a7837fb5b88d9eb5a,1,1,2,0,0,0,0
10755085,13c67b27eef771a73f1ff5a603599326,1,1,4,0,0,0,0
10200048,4d3f9325fdcdd9db025662dc314b6ca0,1,1,3,0,0,0,0
10900041,6f151d38ec2a6a2c8a2767ae6324dd87,1,1,2,0,0,0,0
10284020,b2ea285d74486d5ff6049d9be817a72f,1,1,4,0,0,0,0
10514108,4e2841f07f38525e4b1afb472855fa39,1,1,1,1,0,0,0
10907045,db7c5a5eb7077526e07a808862fda583,1,1,3,0,0,0,0
